congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
107,Senate,2,1,"{'bill_id': 's.1731-107', 'number': 'S..1731', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-23,"{'yes': 46, 'no': 1, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}","Motion to Instruct Sergeant at Arms; Agriculture, Conservation, and Rural Enhancement Act of 2001",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion for Attendance,,"{'yes': 41, 'no': 5, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00001.xml,,,12:11:00,"{'yes': 88, 'no': 6, 'present': 0, 'not_voting': 6}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00001,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/1.json
107,Senate,2,2,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-24,"{'yes': 42, 'no': 3, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}",Motion to Waive CBA re: Emergency Designation re: Baucus Amendment No. 2701; To provide for emergency agriculture assistance.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion ,,"{'yes': 14, 'no': 30, 'present': 0, 'not_voting': 5, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00002.xml,,,16:21:00,"{'yes': 57, 'no': 33, 'present': 0, 'not_voting': 10}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00002,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/2.json
107,Senate,2,3,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-25,"{'yes': 0, 'no': 43, 'present': 0, 'not_voting': 7, 'majority_position': 'No'}","Motion to Waive CBA re: Smith Amendment No. 2705; To amend the Internal Revenue Code of 1986 to provide for a special depreciation allowance for certain property acquired after September 10, 2001, and before September 11, 2004.",,,"{'yes': 0, 'no': 1, 'present': 0, 'not_voting': 0}",On the Motion ,,"{'yes': 39, 'no': 1, 'present': 0, 'not_voting': 9, 'majority_position': 'Yes'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00003.xml,,,10:34:00,"{'yes': 39, 'no': 45, 'present': 0, 'not_voting': 16}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00003,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/3.json
107,Senate,2,4,"{'bill_id': '-107', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-25,"{'yes': 43, 'no': 0, 'present': 0, 'not_voting': 7, 'majority_position': 'Yes'}","Confirmation: Marcia S. Krieger, of Colorado, to be U.S. District Judge",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 39, 'no': 0, 'present': 0, 'not_voting': 10, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00004.xml,,,11:13:00,"{'yes': 83, 'no': 0, 'present': 0, 'not_voting': 17}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00004,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/4.json
107,Senate,2,5,"{'bill_id': '-107', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-25,"{'yes': 42, 'no': 0, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}","Confirmation: James C. Mahan, of Nevada, to be U.S. District Judge",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Nomination,,"{'yes': 38, 'no': 0, 'present': 0, 'not_voting': 11, 'majority_position': 'Yes'}",Confirmed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00005.xml,,,11:37:00,"{'yes': 81, 'no': 0, 'present': 0, 'not_voting': 19}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00005,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/5.json
107,Senate,2,6,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-29,"{'yes': 46, 'no': 1, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Motion to Waive CBA re: Durbin Amdt. 2714; To provide enhanced unemployment compensation benefits.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion ,,"{'yes': 10, 'no': 34, 'present': 0, 'not_voting': 5, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00006.xml,,,11:33:00,"{'yes': 57, 'no': 35, 'present': 0, 'not_voting': 8}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00006,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/6.json
107,Senate,2,7,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-29,"{'yes': 46, 'no': 1, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Bond Amendment No. 2717; To amend the Internal Revenue Code of 1986 to provide for a temporary increase in expensing under section 179 of such code.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 43, 'no': 1, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00007.xml,,,12:21:00,"{'yes': 90, 'no': 2, 'present': 0, 'not_voting': 8}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00007,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/7.json
107,Senate,2,8,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-29,"{'yes': 45, 'no': 3, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Motion to Waive CBA re: Harkin Amdt. No. 2719; To provide for a temporary increase in the Federal medical assistance percentage for the medicaid program for fiscal year 2002.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion ,,"{'yes': 8, 'no': 38, 'present': 0, 'not_voting': 3, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00008.xml,,,15:46:00,"{'yes': 54, 'no': 41, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00008,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/8.json
107,Senate,2,9,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-29,"{'yes': 47, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Allen Amdt. No. 2702; To exclude from gross income certain terrorist attack zone compensation of civilian uniformed personnel.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 44, 'no': 2, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00009.xml,,,17:19:00,"{'yes': 92, 'no': 2, 'present': 0, 'not_voting': 6}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00009,1/2,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/9.json
107,Senate,2,10,"{'bill_id': 'h.r.622-107', 'number': 'H.R..622', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2002-01-29,"{'yes': 34, 'no': 14, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}","Motion to Waive CBA re: Baucus Amdt. No. 2718, as modified; To amend the Internal Revenue Code of 1986 to provide for a special depreciation allowance for certain property acquired after December 31, 2001, and before January 1, 2004, and to increase the F",,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion ,,"{'yes': 27, 'no': 19, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1072/vote_107_2_00010.xml,,,17:20:00,"{'yes': 62, 'no': 33, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=107&session=2&vote=00010,3/5,https://api.propublica.org/congress/v1/107/senate/sessions/2/votes/10.json
