congress,chamber,session,roll_call,bill,date,democratic,description,independent,question,question_text,republican,result,source,time,total,url,vote_type,vote_uri
110,House,1,1,"{'bill_id': 'quorum-110', 'number': 'QUORUM', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2007-01-04,"{'yes': 0, 'no': 0, 'present': 233, 'not_voting': 0, 'majority_position': 'None'}",,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",Call by States,,"{'yes': 0, 'no': 0, 'present': 202, 'not_voting': 0, 'majority_position': 'None'}",Passed,http://clerk.house.gov/evs/2007/roll001.xml,12:32:00,"{'yes': 0, 'no': 0, 'present': 435, 'not_voting': 0}",http://clerk.house.gov/evs/2007/roll001.xml,QUORUM,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/1.json
110,House,1,2,"{'bill_id': '-110', 'number': '', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2007-01-04,{'Pelosi': 233},,{},Election of the Speaker,,{'Boehner': 202},Pelosi,http://clerk.house.gov/evs/2007/roll002.xml,13:44:00,"{'Pelosi': 233, 'Boehner': 202}",http://clerk.house.gov/evs/2007/roll002.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/2.json
110,House,1,3,"{'bill_id': 'hres5-110', 'number': 'H.RES.5', 'sponsor_id': 'S000480', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres5.json', 'title': 'Providing for the consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-04,"{'yes': 222, 'no': 0, 'present': 0, 'not_voting': 11, 'majority_position': 'Yes'}","Providing for the consideration of H. Res. 6, adopting the Rules of the House of Representatives for the One Hundred Tenth Congress","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Ordering the Previous Question,,"{'yes': 0, 'no': 197, 'present': 0, 'not_voting': 5, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2007/roll003.xml,16:30:00,"{'yes': 222, 'no': 197, 'present': 0, 'not_voting': 16}",http://clerk.house.gov/evs/2007/roll003.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/3.json
110,House,1,4,"{'bill_id': 'hres5-110', 'number': 'H.RES.5', 'sponsor_id': 'S000480', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres5.json', 'title': 'Providing for the consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-04,"{'yes': 0, 'no': 232, 'present': 0, 'not_voting': 0, 'majority_position': 'No'}","Providing for the consideration of H. Res. 6, adopting the Rules of the House of Representatives for the One Hundred Tenth Congress","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Commit with Instructions,,"{'yes': 199, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Failed,http://clerk.house.gov/evs/2007/roll004.xml,16:50:00,"{'yes': 199, 'no': 232, 'present': 0, 'not_voting': 3}",http://clerk.house.gov/evs/2007/roll004.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/4.json
110,House,1,5,"{'bill_id': 'hres5-110', 'number': 'H.RES.5', 'sponsor_id': 'S000480', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres5.json', 'title': 'Providing for the consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-04,"{'yes': 232, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}","Providing for the consideration of H. Res. 6, adopting the Rules of the House of Representatives for the One Hundred Tenth Congress","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Agreeing to the Resolution,,"{'yes': 3, 'no': 195, 'present': 0, 'not_voting': 4, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2007/roll005.xml,17:10:00,"{'yes': 235, 'no': 195, 'present': 0, 'not_voting': 4}",http://clerk.house.gov/evs/2007/roll005.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/5.json
110,House,1,6,"{'bill_id': 'hres6-110', 'number': 'H.RES.6', 'sponsor_id': 'H000874', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres6.json', 'title': 'Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-04,"{'yes': 230, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On adoption of Title I of the Resolution,,"{'yes': 196, 'no': 0, 'present': 0, 'not_voting': 6, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2007/roll006.xml,18:11:00,"{'yes': 426, 'no': 0, 'present': 0, 'not_voting': 8}",http://clerk.house.gov/evs/2007/roll006.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/6.json
110,House,1,7,"{'bill_id': 'hres6-110', 'number': 'H.RES.6', 'sponsor_id': 'H000874', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres6.json', 'title': 'Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-04,"{'yes': 232, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On adoption of Title 2 of the Resolution,,"{'yes': 198, 'no': 1, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2007/roll007.xml,19:29:00,"{'yes': 430, 'no': 1, 'present': 0, 'not_voting': 4}",http://clerk.house.gov/evs/2007/roll007.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/7.json
110,House,1,8,"{'bill_id': 'hres6-110', 'number': 'H.RES.6', 'sponsor_id': 'H000874', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres6.json', 'title': 'Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-05,"{'yes': 232, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On adoption of Title 3 of the Resolution,,"{'yes': 198, 'no': 0, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",Passed,http://clerk.house.gov/evs/2007/roll008.xml,12:46:00,"{'yes': 430, 'no': 0, 'present': 0, 'not_voting': 5}",http://clerk.house.gov/evs/2007/roll008.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/8.json
110,House,1,9,"{'bill_id': 'hres6-110', 'number': 'H.RES.6', 'sponsor_id': 'H000874', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres6.json', 'title': 'Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-05,"{'yes': 232, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On adoption of Title 4 of the Resolution,,"{'yes': 48, 'no': 152, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2007/roll009.xml,12:59:00,"{'yes': 280, 'no': 152, 'present': 0, 'not_voting': 3}",http://clerk.house.gov/evs/2007/roll009.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/9.json
110,House,1,10,"{'bill_id': 'hres6-110', 'number': 'H.RES.6', 'sponsor_id': 'H000874', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hres6.json', 'title': 'Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2007-01-05,"{'yes': 0, 'no': 232, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Adopting the Rules of the House of Representatives for the One Hundred Tenth Congress,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Commit with Instructions,,"{'yes': 200, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Failed,http://clerk.house.gov/evs/2007/roll010.xml,13:20:00,"{'yes': 200, 'no': 232, 'present': 0, 'not_voting': 3}",http://clerk.house.gov/evs/2007/roll010.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/110/house/sessions/1/votes/10.json
