party,,,,D,R,R,D,D,D,R,D,D,R,D,D,R,R,R,D,D,D,D,D,R,D,R,R,R,D,R,R,R,R,D,D,D,R,R,D,D,R,R,R,D,D,R,R,R,D,R,R,D,D,D,D,D,R,D,D,D,D,ID,D,R,R,R,D,R,D,D,D,R,D,D,D,D,D,D,R,R,D,D,I,D,R,D,R,R,R,D,D,R,D,D,R,R,D,D,D,R,D,D,D,D,D,D,D,R,D
state,,,,HI,TN,WY,MT,IN,AK,UT,DE,NM,MO,CA,OH,KS,KY,NC,WV,WA,MD,DE,PA,GA,NY,OK,MS,ME,ND,TN,TX,ID,SC,CT,ND,IL,NV,WY,WI,CA,SC,IA,NH,NC,IA,UT,TX,OK,HI,GA,NE,SD,MA,MA,MN,WI,AZ,LA,NJ,VT,MI,CT,AR,IN,FL,AZ,MO,KY,NJ,OR,MD,AK,WA,FL,NE,AR,RI,NV,ID,KS,WV,CO,VT,NY,AL,NH,AL,ME,PA,MI,MT,SD,CO,NM,LA,OH,VA,VA,RI,MS,OR,IL,DE,CO,NY,PA,MN,FL,MA
dw_nominate,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
member_id,,,,A000069,A000360,B001261,B000243,B001233,B001265,B000382,B000444,B000468,B000611,B000711,B000944,B000953,B001066,B001135,B001210,C000127,C000141,C000174,C001070,C000286,C001041,C000560,C000567,C001035,C000705,C001071,C001056,C000880,D000595,D000388,D000432,D000563,E000194,E000285,F000061,F000062,G000359,G000386,G000445,H001049,H000206,H000338,H001016,I000024,I000025,I000055,J000291,J000177,K000105,K000148,K000367,K000305,K000352,L000550,L000123,L000174,L000261,L000304,L000035,L000504,M001162,M000303,M001170,M000355,M000639,M001176,M000702,M001153,M001111,N000032,N000180,P000590,R000122,R000146,R000584,R000307,R000361,S001163,S000033,S000148,S001141,S001181,S000320,S000663,S000709,S000770,T000464,T000250,U000038,U000039,V000127,V000126,W000805,W000803,W000802,W000437,W000779,B001266,K000373,B001267,G000555,S000709,F000457,L000572,K000374
name,,,,Daniel K. Akaka,Lamar Alexander,John Barrasso,Max Baucus,Evan Bayh,Mark Begich,Robert F. Bennett,Joseph R. Biden Jr.,Jeff Bingaman,Christopher S. Bond,Barbara Boxer,Sherrod Brown,Sam Brownback,Jim Bunning,Richard M. Burr,Robert C. Byrd,Maria Cantwell,Benjamin L. Cardin,Thomas R. Carper,Bob Casey,Saxby Chambliss,Hillary Rodham Clinton,Tom Coburn,Thad Cochran,Susan Collins,Kent Conrad,Bob Corker,John Cornyn,Michael D. Crapo,Jim DeMint,Christopher J. Dodd,Byron L. Dorgan,Richard J. Durbin,John Ensign,Michael B. Enzi,Russ Feingold,Dianne Feinstein,Lindsey Graham,Charles E. Grassley,Judd Gregg,Kay Hagan,Tom Harkin,Orrin G. Hatch,Kay Bailey Hutchison,James M. Inhofe,Daniel K. Inouye,Johnny Isakson,Mike Johanns,Tim Johnson,Edward M. Kennedy,John Kerry,Amy Klobuchar,Herb Kohl,Jon Kyl,Mary L. Landrieu,Frank R. Lautenberg,Patrick J. Leahy,Carl Levin,Joseph I. Lieberman,Blanche Lincoln,Richard G. Lugar,Mel Martinez,John McCain,Claire McCaskill,Mitch McConnell,Robert Menendez,Jeff Merkley,Barbara A. Mikulski,Lisa Murkowski,Patty Murray,Bill Nelson,Ben Nelson,Mark Pryor,Jack Reed,Harry Reid,Jim Risch,Pat Roberts,John D. Rockefeller IV,Ken Salazar,Bernard Sanders,Charles E. Schumer,Jeff Sessions,Jeanne Shaheen,Richard C. Shelby,Olympia J. Snowe,Arlen Specter,Debbie Stabenow,Jon Tester,John Thune,Mark Udall,Tom Udall,David Vitter,George V. Voinovich,Mark Warner,Jim Webb,Sheldon Whitehouse,Roger Wicker,Ron Wyden,Roland W. Burris,Edward E. Kaufman,Michael Bennet,Kirsten E. Gillibrand,Arlen Specter,Al Franken,George S. LeMieux,Paul G. Kirk Jr.
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Senate,1,1,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Not Voting,No,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,No,Yes,Yes,Yes,No,Not Voting,Yes,No,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,No,Not Voting,Yes,Yes,Yes,Not Voting,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Voting,Yes,Yes,No,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,,,,,,,,
111,Senate,1,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,No,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not Voting,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Not Voting,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
111,Senate,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Not Voting,No,Not Voting,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
111,Senate,1,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,No,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
111,Senate,1,5,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Not Voting,Yes,Not Voting,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Present,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Present,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,,,,,,,
111,Senate,1,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,
111,Senate,1,7,No,Yes,Yes,No,No,No,Yes,,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Not Voting,Yes,Yes,Yes,No,Yes,Yes,No,Not Voting,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,,,,,,
111,Senate,1,8,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,
111,Senate,1,9,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Not Voting,No,No,No,Yes,Yes,No,No,No,Not Voting,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,
111,Senate,1,10,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,
111,Senate,1,11,Yes,Yes,No,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,
111,Senate,1,12,Yes,No,No,Yes,Yes,Yes,No,,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Not Voting,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,,,
