party,,,,D,R,R,D,D,D,D,R,D,R,D,D,R,R,R,D,D,D,D,D,D,R,R,R,R,D,R,R,R,R,D,D,D,R,R,D,D,D,D,R,R,R,D,D,R,R,R,D,R,R,D,D,D,D,D,D,R,D,D,R,D,D,ID,D,R,R,D,R,D,D,D,R,D,D,D,D,D,D,R,R,D,I,D,R,D,R,R,D,D,D,R,D,D,R,R,D,D,D,R,D,R,D,D,D,R
state,,,,HI,TN,WY,MT,IN,AK,CO,UT,NM,MO,CA,OH,KS,KY,NC,IL,WV,WA,MD,DE,PA,GA,OK,MS,ME,ND,TN,TX,ID,SC,CT,ND,IL,NV,WY,WI,CA,MN,NY,SC,IA,NH,NC,IA,UT,TX,OK,HI,GA,NE,SD,DE,MA,MA,MN,WI,AZ,LA,NJ,FL,VT,MI,CT,AR,IN,AZ,MO,KY,NJ,OR,MD,AK,WA,FL,NE,AR,RI,NV,ID,KS,WV,VT,NY,AL,NH,AL,ME,PA,MI,MT,SD,CO,NM,LA,OH,VA,VA,RI,MS,OR,MA,WV,DE,WV,IL
dw_nominate,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
member_id,,,,A000069,A000360,B001261,B000243,B001233,B001265,B001267,B000382,B000468,B000611,B000711,B000944,B000953,B001066,B001135,B001266,B001210,C000127,C000141,C000174,C001070,C000286,C000560,C000567,C001035,C000705,C001071,C001056,C000880,D000595,D000388,D000432,D000563,E000194,E000285,F000061,F000062,F000457,G000555,G000359,G000386,G000445,H001049,H000206,H000338,H001016,I000024,I000025,I000055,J000291,J000177,K000373,K000148,K000374,K000367,K000305,K000352,L000550,L000123,L000572,L000174,L000261,L000304,L000035,L000504,M000303,M001170,M000355,M000639,M001176,M000702,M001153,M001111,N000032,N000180,P000590,R000122,R000146,R000584,R000307,R000361,S000033,S000148,S001141,S001181,S000320,S000663,S000709,S000770,T000464,T000250,U000038,U000039,V000127,V000126,W000805,W000803,W000802,W000437,W000779,B001268,G000561,C001088,M001183,K000360
name,,,,Daniel K. Akaka,Lamar Alexander,John Barrasso,Max Baucus,Evan Bayh,Mark Begich,Michael Bennet,Robert F. Bennett,Jeff Bingaman,Christopher S. Bond,Barbara Boxer,Sherrod Brown,Sam Brownback,Jim Bunning,Richard M. Burr,Roland W. Burris,Robert C. Byrd,Maria Cantwell,Benjamin L. Cardin,Thomas R. Carper,Bob Casey,Saxby Chambliss,Tom Coburn,Thad Cochran,Susan Collins,Kent Conrad,Bob Corker,John Cornyn,Michael D. Crapo,Jim DeMint,Christopher J. Dodd,Byron L. Dorgan,Richard J. Durbin,John Ensign,Michael B. Enzi,Russ Feingold,Dianne Feinstein,Al Franken,Kirsten E. Gillibrand,Lindsey Graham,Charles E. Grassley,Judd Gregg,Kay Hagan,Tom Harkin,Orrin G. Hatch,Kay Bailey Hutchison,James M. Inhofe,Daniel K. Inouye,Johnny Isakson,Mike Johanns,Tim Johnson,Edward E. Kaufman,John Kerry,Paul G. Kirk Jr.,Amy Klobuchar,Herb Kohl,Jon Kyl,Mary L. Landrieu,Frank R. Lautenberg,George S. LeMieux,Patrick J. Leahy,Carl Levin,Joseph I. Lieberman,Blanche Lincoln,Richard G. Lugar,John McCain,Claire McCaskill,Mitch McConnell,Robert Menendez,Jeff Merkley,Barbara A. Mikulski,Lisa Murkowski,Patty Murray,Bill Nelson,Ben Nelson,Mark Pryor,Jack Reed,Harry Reid,Jim Risch,Pat Roberts,John D. Rockefeller IV,Bernard Sanders,Charles E. Schumer,Jeff Sessions,Jeanne Shaheen,Richard C. Shelby,Olympia J. Snowe,Arlen Specter,Debbie Stabenow,Jon Tester,John Thune,Mark Udall,Tom Udall,David Vitter,George V. Voinovich,Mark Warner,Jim Webb,Sheldon Whitehouse,Roger Wicker,Ron Wyden,Scott Brown,Carte P. Goodwin,Christopher A. Coons,Joe Manchin III,Mark Steven Kirk
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Senate,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
111,Senate,2,2,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Not Voting,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Not Voting,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,,,,,
111,Senate,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Not Voting,Yes,Not Voting,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,,,,,
111,Senate,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,Yes,,,,,
111,Senate,2,5,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Not Voting,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,,,,
