congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
110,Senate,1,1,"{'bill_id': 'sres19-110', 'number': 'S.RES.19', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/sres19.json', 'title': 'A resolution honoring President Gerald Rudolph Ford.', 'latest_action': 'Message on Senate action sent to the House.'}",2007-01-08,"{'yes': 45, 'no': 0, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",S. Res. 19; A resolution honoring President Gerald Rudolph Ford.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On the Resolution,,"{'yes': 42, 'no': 0, 'present': 0, 'not_voting': 7, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00001.xml,,,12:01:00,"{'yes': 88, 'no': 0, 'present': 0, 'not_voting': 12}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00001,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/1.json
110,Senate,1,2,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-10,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}","Vitter Amdt No. 7; To amend the Ethics in Government Act of 1978 to establish criminal penalties for knowingly and willfully falsifying or failing to file or report certain information required to be reported under that Act, and for other purposes.",,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 45, 'no': 2, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00002.xml,,,12:00:00,"{'yes': 93, 'no': 2, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00002,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/2.json
110,Senate,1,3,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-10,"{'yes': 46, 'no': 1, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Motion to Table Vitter Amdt. No. 5; To modify the application of the Federal Election Campaign Act of 1971 to Indian tribes.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 8, 'no': 39, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00003.xml,,,17:02:00,"{'yes': 56, 'no': 40, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00003,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/3.json
110,Senate,1,4,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-10,"{'yes': 35, 'no': 11, 'present': 1, 'not_voting': 2, 'majority_position': 'Yes'}",Motion to Table Vitter Amdt. No. 6; to prohibit authorized committees and leadership PACs from employing the spouse or immediate family members of any candidate or Federal office holder connected to the committee.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 17, 'no': 30, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00004.xml,,,17:28:00,"{'yes': 54, 'no': 41, 'present': 1, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00004,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/4.json
110,Senate,1,5,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-11,"{'yes': 38, 'no': 9, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Motion to Table DeMint Amdt. No. 11; To strengthen earmark reform.,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Motion to Table ,,"{'yes': 7, 'no': 41, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00005.xml,,,14:03:00,"{'yes': 46, 'no': 51, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00005,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/5.json
110,Senate,1,6,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-11,"{'yes': 0, 'no': 47, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Motion to Waive CBA DeMint Amdt. No. 13; To prevent government shutdowns.,,,"{'yes': 0, 'no': 2, 'present': 0, 'not_voting': 0}",On the Motion ,,"{'yes': 25, 'no': 23, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00006.xml,,,14:32:00,"{'yes': 25, 'no': 72, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00006,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/6.json
110,Senate,1,7,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-11,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Motion to Instruct Sgt. at Arms; Honest Leadership and Open Government Act of 2007,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Motion,,"{'yes': 42, 'no': 6, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00007.xml,,,16:10:00,"{'yes': 90, 'no': 6, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00007,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/7.json
110,Senate,1,8,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-12,"{'yes': 41, 'no': 0, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}","Kerry Amdt. No. 1, As Modified; To amend title 5, United States Code, to deny Federal retirement benefits to individuals convicted of certain offenses, and for other purposes.",,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 44, 'no': 0, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00008.xml,,,09:50:00,"{'yes': 87, 'no': 0, 'present': 0, 'not_voting': 13}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00008,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/8.json
110,Senate,1,9,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-12,"{'yes': 41, 'no': 0, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}",Vitter Amdt. No. 10; To increase the penalty for failure to comply with lobbying disclosure requirements.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 38, 'no': 6, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00009.xml,,,10:17:00,"{'yes': 81, 'no': 6, 'present': 0, 'not_voting': 13}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00009,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/9.json
110,Senate,1,10,"{'bill_id': 's1-110', 'number': 'S.1', 'sponsor_id': 'R000146', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s1.json', 'title': 'A bill to provide greater transparency in the legislative process.', 'latest_action': 'Became Public Law No: 110-81'}",2007-01-16,"{'yes': 47, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Durbin Amdt. No. 44 As Modified; To strengthen earmark reform.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 49, 'no': 0, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1101/vote_110_1_00010.xml,,,17:35:00,"{'yes': 98, 'no': 0, 'present': 0, 'not_voting': 2}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=1&vote=00010,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/1/votes/10.json
