congress,chamber,session,roll_call,bill,date,democratic,description,document_number,document_title,independent,question,question_text,republican,result,source,tie_breaker,tie_breaker_vote,time,total,url,vote_type,vote_uri
110,Senate,2,1,"{'bill_id': 'hr4986-110', 'number': 'H.R.4986', 'sponsor_id': 'S000465', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr4986.json', 'title': 'To provide for the enactment of the National Defense Authorization Act for Fiscal Year 2008, as previously enrolled, with certain modifications to address the foreign sovereign immunities provisions of title 28, United States Code, with respect to the attachment of property in certain judgements against Iraq, the lapse of statutory authorities for the payment of bonuses, special pays, and similar benefits for members of the uniformed services, and for other purposes.', 'latest_action': 'Became Public Law No: 110-181.'}",2008-01-22,"{'yes': 44, 'no': 2, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",H.R.4986; National Defense Authorization Act for Fiscal Year 2008,,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On Passage of the Bill,,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Passed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00001.xml,,,17:32:00,"{'yes': 91, 'no': 3, 'present': 0, 'not_voting': 6}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00001,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/1.json
110,Senate,2,2,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-01-24,"{'yes': 12, 'no': 35, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}","Motion to Table Committee on the Judiciary Reported Substitute Amendment, as Modified, to S.2248; FISA Amendments Act of 2008",,,"{'yes': 1, 'no': 1, 'present': 0, 'not_voting': 0}",On the Motion to Table,,"{'yes': 47, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00002.xml,,,14:03:00,"{'yes': 60, 'no': 36, 'present': 0, 'not_voting': 4}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00002,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/2.json
110,Senate,2,3,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-01-28,"{'yes': 4, 'no': 43, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}",Motion to Invoke Cloture on Amdt. No. 3911 to S. 2248; In the nature of a substitute.,,,"{'yes': 0, 'no': 1, 'present': 0, 'not_voting': 1}",On the Cloture Motion ,,"{'yes': 44, 'no': 1, 'present': 0, 'not_voting': 4, 'majority_position': 'Yes'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00003.xml,,,16:43:00,"{'yes': 48, 'no': 45, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00003,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/3.json
110,Senate,2,4,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-01-28,"{'yes': 47, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}",Motion to Invoke Cloture on Amdt. No. 3918 to S. 2248; Relative to the extension of the Protect America Act of 2007.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On the Cloture Motion ,,"{'yes': 0, 'no': 45, 'present': 0, 'not_voting': 4, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00004.xml,,,17:14:00,"{'yes': 48, 'no': 45, 'present': 0, 'not_voting': 7}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00004,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/4.json
110,Senate,2,5,"{'bill_id': 'hr5140-110', 'number': 'H.R.5140', 'sponsor_id': 'P000197', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr5140.json', 'title': 'To provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.', 'latest_action': 'Became Public Law No: 110-185.'}",2008-02-04,"{'yes': 42, 'no': 0, 'present': 0, 'not_voting': 7, 'majority_position': 'Yes'}",Motion To Invoke Cloture On The Motion To Proceed To Consider H.R. 5140; Economic Stimulus Act of 2008,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On the Cloture Motion,,"{'yes': 37, 'no': 4, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00005.xml,,,17:31:00,"{'yes': 80, 'no': 4, 'present': 0, 'not_voting': 16}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00005,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/5.json
110,Senate,2,6,"{'bill_id': 'hr5140-110', 'number': 'H.R.5140', 'sponsor_id': 'P000197', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr5140.json', 'title': 'To provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.', 'latest_action': 'Became Public Law No: 110-185.'}",2008-02-05,"{'yes': 41, 'no': 0, 'present': 0, 'not_voting': 8, 'majority_position': 'Yes'}",Motion to Instruct Sgt. At Arms; Economic Stimulus Act of 2008,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On the Motion,,"{'yes': 31, 'no': 12, 'present': 0, 'not_voting': 6, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00006.xml,,,11:37:00,"{'yes': 73, 'no': 12, 'present': 0, 'not_voting': 15}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00006,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/6.json
110,Senate,2,7,"{'bill_id': 's2248-110', 'number': 'S.2248', 'sponsor_id': 'R000361', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/s2248.json', 'title': 'An original bill to amend the Foreign Intelligence Surveillance Act of 1978, to modernize and streamline the provisions of that Act, and for other purposes.', 'latest_action': 'See also H.R.3773.'}",2008-02-06,"{'yes': 48, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Cardin Amdt No. 3930; To modify the sunset provision.,,,"{'yes': 1, 'no': 0, 'present': 0, 'not_voting': 1}",On the Amendment ,,"{'yes': 0, 'no': 46, 'present': 0, 'not_voting': 3, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00007.xml,,,15:15:00,"{'yes': 49, 'no': 46, 'present': 0, 'not_voting': 5}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00007,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/7.json
110,Senate,2,8,"{'bill_id': 'hr5140-110', 'number': 'H.R.5140', 'sponsor_id': 'P000197', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr5140.json', 'title': 'To provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.', 'latest_action': 'Became Public Law No: 110-185.'}",2008-02-06,"{'yes': 48, 'no': 1, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Motion To Invoke Cloture On The Reid Amdt No. 3983; Of a perfecting nature.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Cloture Motion ,,"{'yes': 8, 'no': 40, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Rejected,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00008.xml,,,17:46:00,"{'yes': 58, 'no': 41, 'present': 0, 'not_voting': 1}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00008,3/5,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/8.json
110,Senate,2,9,"{'bill_id': 'hr5140-110', 'number': 'H.R.5140', 'sponsor_id': 'P000197', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr5140.json', 'title': 'To provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.', 'latest_action': 'Became Public Law No: 110-185.'}",2008-02-07,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",Reid Amdt. No. 4010; To revise the eligibility criteria for the 2008 recovery rebates for individuals.,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On the Amendment ,,"{'yes': 43, 'no': 6, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00009.xml,,,16:11:00,"{'yes': 91, 'no': 6, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00009,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/9.json
110,Senate,2,10,"{'bill_id': 'hr5140-110', 'number': 'H.R.5140', 'sponsor_id': 'P000197', 'api_uri': 'https://api.propublica.org/congress/v1/110/bills/hr5140.json', 'title': 'To provide economic stimulus through recovery rebates to individuals, incentives for business investment, and an increase in conforming and FHA loan limits.', 'latest_action': 'Became Public Law No: 110-185.'}",2008-02-07,"{'yes': 46, 'no': 0, 'present': 0, 'not_voting': 3, 'majority_position': 'Yes'}",H.R. 5140 As Amended; Economic Stimulus Act of 2008,,,"{'yes': 2, 'no': 0, 'present': 0, 'not_voting': 0}",On Passage of the Bill,,"{'yes': 33, 'no': 16, 'present': 0, 'not_voting': 0, 'majority_position': 'Yes'}",Passed,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1102/vote_110_2_00010.xml,,,16:36:00,"{'yes': 81, 'no': 16, 'present': 0, 'not_voting': 3}",https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=110&session=2&vote=00010,1/2,https://api.propublica.org/congress/v1/110/senate/sessions/2/votes/10.json
