congress,chamber,session,roll_call,bill,date,democratic,description,independent,question,question_text,republican,result,source,time,total,url,vote_type,vote_uri
116,House,1,1,"{'bill_id': 'quorum-116', 'number': 'QUORUM', 'sponsor_id': None, 'api_uri': None, 'title': None, 'latest_action': None}",2019-01-03,"{'yes': 0, 'no': 0, 'present': 234, 'not_voting': 1, 'majority_position': 'Present'}",,"{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",Call by States,,"{'yes': 0, 'no': 0, 'present': 197, 'not_voting': 2, 'majority_position': 'Present'}",Passed,http://clerk.house.gov/evs/2019/roll001.xml,12:39:00,"{'yes': 0, 'no': 0, 'present': 431, 'not_voting': 3}",http://clerk.house.gov/evs/2019/roll001.xml,QUORUM,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/1.json
116,House,1,2,{},2019-01-03,"{'Pelosi': 220, 'Biden': 1, 'Present': 3, 'Duckworth': 2, 'Bustos': 4, 'Lewis': 1, 'Kennedy': 1, 'Murphy': 1, 'Abrams': 1, 'Fudge': 1}",,{},Election of the Speaker,,"{'McCarthy': 192, 'Massie': 1, 'Jordan': 5, 'Not Voting': 1}",Pelosi,http://clerk.house.gov/evs/2019/roll002.xml,15:15:00,"{'McCarthy': 192, 'Pelosi': 220, 'Massie': 1, 'Jordan': 5, 'Biden': 1, 'Present': 3, 'Duckworth': 2, 'Bustos': 4, 'Not Voting': 1, 'Lewis': 1, 'Kennedy': 1, 'Murphy': 1, 'Abrams': 1, 'Fudge': 1}",http://clerk.house.gov/evs/2019/roll002.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/2.json
116,House,1,3,"{'bill_id': 'hres5-116', 'number': 'H.RES.5', 'sponsor_id': 'M000312', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hres5.json', 'title': 'Providing for consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress; providing for consideration of the bill (H.R. 21) making appropriations for the fiscal year ending September 30, 2019, and for other purposes; and providing for consideration of the joint resolution (H.J. Res. 1) making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2019-01-03,"{'yes': 230, 'no': 0, 'present': 0, 'not_voting': 5, 'majority_position': 'Yes'}","Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Table the Motion to Refer,,"{'yes': 0, 'no': 197, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2019/roll003.xml,16:06:00,"{'yes': 230, 'no': 197, 'present': 0, 'not_voting': 6}",http://clerk.house.gov/evs/2019/roll003.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/3.json
116,House,1,4,"{'bill_id': 'hres5-116', 'number': 'H.RES.5', 'sponsor_id': 'M000312', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hres5.json', 'title': 'Providing for consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress; providing for consideration of the bill (H.R. 21) making appropriations for the fiscal year ending September 30, 2019, and for other purposes; and providing for consideration of the joint resolution (H.J. Res. 1) making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2019-01-03,"{'yes': 233, 'no': 0, 'present': 0, 'not_voting': 2, 'majority_position': 'Yes'}","Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Ordering the Previous Question,,"{'yes': 0, 'no': 197, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2019/roll004.xml,17:25:00,"{'yes': 233, 'no': 197, 'present': 0, 'not_voting': 3}",http://clerk.house.gov/evs/2019/roll004.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/4.json
116,House,1,5,"{'bill_id': 'hres5-116', 'number': 'H.RES.5', 'sponsor_id': 'M000312', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hres5.json', 'title': 'Providing for consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress; providing for consideration of the bill (H.R. 21) making appropriations for the fiscal year ending September 30, 2019, and for other purposes; and providing for consideration of the joint resolution (H.J. Res. 1) making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2019-01-03,"{'yes': 0, 'no': 232, 'present': 0, 'not_voting': 3, 'majority_position': 'No'}","Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Commit with Instructions,,"{'yes': 197, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Failed,http://clerk.house.gov/evs/2019/roll005.xml,17:44:00,"{'yes': 197, 'no': 232, 'present': 0, 'not_voting': 4}",http://clerk.house.gov/evs/2019/roll005.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/5.json
116,House,1,6,"{'bill_id': 'hres5-116', 'number': 'H.RES.5', 'sponsor_id': 'M000312', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hres5.json', 'title': 'Providing for consideration of the resolution (H. Res. 6) adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress; providing for consideration of the bill (H.R. 21) making appropriations for the fiscal year ending September 30, 2019, and for other purposes; and providing for consideration of the joint resolution (H.J. Res. 1) making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2019-01-03,"{'yes': 234, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}","Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Agreeing to the Resolution,,"{'yes': 0, 'no': 194, 'present': 0, 'not_voting': 4, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2019/roll006.xml,18:01:00,"{'yes': 234, 'no': 194, 'present': 0, 'not_voting': 5}",http://clerk.house.gov/evs/2019/roll006.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/6.json
116,House,1,7,"{'bill_id': 'hres6-116', 'number': 'H.RES.6', 'sponsor_id': 'H000874', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hres6.json', 'title': 'Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes.', 'latest_action': 'Motion to reconsider laid on the table Agreed to without objection.'}",2019-01-03,"{'yes': 231, 'no': 3, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}","Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Agreeing to Title I of the Resolution,,"{'yes': 3, 'no': 194, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2019/roll007.xml,19:13:00,"{'yes': 234, 'no': 197, 'present': 0, 'not_voting': 2}",http://clerk.house.gov/evs/2019/roll007.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/7.json
116,House,1,8,"{'bill_id': 'hjres1-116', 'number': 'H.J.RES.1', 'sponsor_id': 'L000480', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hjres1.json', 'title': 'Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes.', 'latest_action': 'Motion to proceed to consideration of measure withdrawn in Senate.'}",2019-01-03,"{'yes': 0, 'no': 233, 'present': 0, 'not_voting': 2, 'majority_position': 'No'}","Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Recommit with Instructions,,"{'yes': 197, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Failed,http://clerk.house.gov/evs/2019/roll008.xml,21:24:00,"{'yes': 197, 'no': 233, 'present': 0, 'not_voting': 3}",http://clerk.house.gov/evs/2019/roll008.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/8.json
116,House,1,9,"{'bill_id': 'hjres1-116', 'number': 'H.J.RES.1', 'sponsor_id': 'L000480', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hjres1.json', 'title': 'Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes.', 'latest_action': 'Motion to proceed to consideration of measure withdrawn in Senate.'}",2019-01-03,"{'yes': 234, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}","Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Passage,,"{'yes': 5, 'no': 192, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}",Passed,http://clerk.house.gov/evs/2019/roll009.xml,21:34:00,"{'yes': 239, 'no': 192, 'present': 0, 'not_voting': 2}",http://clerk.house.gov/evs/2019/roll009.xml,RECORDED VOTE,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/9.json
116,House,1,10,"{'bill_id': 'hr21-116', 'number': 'H.R.21', 'sponsor_id': 'L000480', 'api_uri': 'https://api.propublica.org/congress/v1/116/bills/hr21.json', 'title': 'Making appropriations for the fiscal year ending September 30, 2019, and for other purposes.', 'latest_action': 'Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 5.'}",2019-01-03,"{'yes': 2, 'no': 232, 'present': 0, 'not_voting': 1, 'majority_position': 'No'}","Making appropriations for the fiscal year ending September 30, 2019, and for other purposes","{'yes': 0, 'no': 0, 'present': 0, 'not_voting': 0}",On Motion to Recommit with Instructions,,"{'yes': 197, 'no': 0, 'present': 0, 'not_voting': 1, 'majority_position': 'Yes'}",Failed,http://clerk.house.gov/evs/2019/roll010.xml,21:43:00,"{'yes': 199, 'no': 232, 'present': 0, 'not_voting': 2}",http://clerk.house.gov/evs/2019/roll010.xml,YEA-AND-NAY,https://api.propublica.org/congress/v1/116/house/sessions/1/votes/10.json
