party,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,ID,ID,ID,ID,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
state,,,,AL,AL,AZ,CA,CA,CA,CO,CO,CT,CT,CT,CT,DE,DE,DE,HI,HI,HI,HI,IL,IL,IL,IL,MA,MA,MA,MA,MD,MD,MD,MI,MI,MI,MI,MN,MN,MN,MN,MT,MT,NH,NH,NH,NJ,NJ,NJ,NJ,NM,NM,NM,NM,NV,NV,NV,NV,NY,NY,NY,NY,OH,OH,OR,OR,OR,OR,PA,PA,RI,RI,RI,RI,VA,VA,VA,VA,VT,VT,WA,WA,WI,WI,WV,WV,ME,ME,VT,VT,AK,AK,AK,AL,AR,AR,AR,AZ,CO,CO,FL,FL,FL,GA,GA,GA,IA,IA,IA,ID,ID,ID,IN,IN,IN,KS,KS,KY,KY,KY,LA,LA,LA,ME,ME,MO,MO,MS,MS,MS,MT,MT,NC,NC,NC,ND,ND,NE,NE,NE,NE,OH,OK,OK,PA,SC,SC,SC,SD,SD,TN,TN,TX,TX,UT,UT,UT,WI,WI,WV,WY,WY,WY
dw_nominate,,,,-0.105,-0.098,-0.106,-0.71,-0.696,-0.27,-0.211,-0.209,-0.42,-0.413,-0.302,-0.298,-0.238,-0.233,-0.175,-0.498,-0.492,-0.432,-0.425,-0.361,-0.358,-0.33,-0.323,-0.774,-0.767,-0.506,-0.505,-0.39,-0.326,-0.324,-0.333,-0.332,-0.243,-0.24,-0.375,-0.364,-0.265,-0.257,-0.212,-0.21,-0.259,-0.252,-0.249,-0.62,-0.611,-0.364,-0.363,-0.456,-0.454,-0.305,-0.304,-0.38,-0.376,-0.256,-0.248,-0.439,-0.427,-0.353,-0.352,-0.435,-0.433,-0.475,-0.467,-0.321,-0.32,-0.306,-0.304,-0.393,-0.383,-0.381,-0.378,-0.24,-0.237,-0.198,-0.196,-0.369,-0.368,-0.343,-0.291,-0.518,-0.512,-0.058,-0.055,-0.154,-0.151,-0.526,-0.524,0.209,0.463,0.465,0.432,0.401,0.601,0.603,0.347,0.448,0.449,0.581,nan,0.58,0.402,0.586,0.587,0.344,0.504,0.506,0.51,0.629,0.631,nan,0.482,0.483,0.414,0.414,0.404,0.876,0.878,0.451,0.544,0.549,0.111,0.112,0.429,nan,0.377,0.377,0.378,0.542,0.543,0.416,0.419,0.452,0.342,0.392,0.465,0.466,0.802,0.809,0.374,0.555,0.584,0.644,0.407,0.642,0.643,0.384,0.41,0.323,0.615,0.495,0.819,0.918,nan,0.916,0.6,0.601,0.261,0.538,0.54,0.541
member_id,,,,J000300,J000300,S001191,H001075,H001075,F000062,B001267,B001267,B001277,B001277,M001169,M001169,C001088,C001088,C000174,H001042,H001042,S001194,S001194,D000563,D000563,D000622,D000622,W000817,W000817,M000133,M000133,V000128,C000141,C000141,S000770,S000770,P000595,P000595,S001203,S001203,K000367,K000367,T000464,T000464,H001076,H001076,S001181,B001288,B001288,M000639,M000639,U000039,U000039,H001046,H001046,C001113,C001113,R000608,R000608,G000555,G000555,S000148,S000148,B000944,B000944,M001176,M001176,W000779,W000779,C001070,C001070,W000802,W000802,R000122,R000122,K000384,K000384,W000805,W000805,L000174,L000174,M001111,C000127,B001230,B001230,M001183,M001183,K000383,K000383,S000033,S000033,M001153,S001198,S001198,S000320,B001236,C001095,C001095,M001197,G000562,G000562,R000595,S001217,R000595,I000055,P000612,P000612,G000386,E000295,E000295,C000880,R000584,R000584,B001310,Y000064,Y000064,M000934,R000307,M000355,P000603,P000603,C001075,K000393,K000393,C001035,C001035,B000575,H001089,H001079,W000437,H001079,D000618,D000618,T000476,T000476,B001135,H001061,C001096,F000463,F000463,S001197,S001197,P000449,I000024,L000575,T000461,G000359,S001184,S001184,R000605,T000250,A000360,B001243,C001056,C001098,L000577,R000615,L000577,J000293,J000293,C001047,B001261,E000285,E000285
name,,,,Doug Jones,Doug Jones,Kyrsten Sinema,Kamala Harris,Kamala Harris,Dianne Feinstein,Michael Bennet,Michael Bennet,Richard Blumenthal,Richard Blumenthal,Christopher S. Murphy,Christopher S. Murphy,Christopher A. Coons,Christopher A. Coons,Thomas R. Carper,Mazie K. Hirono,Mazie K. Hirono,Brian Schatz,Brian Schatz,Richard J. Durbin,Richard J. Durbin,Tammy Duckworth,Tammy Duckworth,Elizabeth Warren,Elizabeth Warren,Edward J. Markey,Edward J. Markey,Chris Van Hollen,Benjamin L. Cardin,Benjamin L. Cardin,Debbie Stabenow,Debbie Stabenow,Gary Peters,Gary Peters,Tina Smith,Tina Smith,Amy Klobuchar,Amy Klobuchar,Jon Tester,Jon Tester,Margaret Hassan,Margaret Hassan,Jeanne Shaheen,Cory Booker,Cory Booker,Robert Menendez,Robert Menendez,Tom Udall,Tom Udall,Martin Heinrich,Martin Heinrich,Catherine Cortez Masto,Catherine Cortez Masto,Jacky Rosen,Jacky Rosen,Kirsten E. Gillibrand,Kirsten E. Gillibrand,Charles E. Schumer,Charles E. Schumer,Sherrod Brown,Sherrod Brown,Jeff Merkley,Jeff Merkley,Ron Wyden,Ron Wyden,Bob Casey,Bob Casey,Sheldon Whitehouse,Sheldon Whitehouse,Jack Reed,Jack Reed,Tim Kaine,Tim Kaine,Mark Warner,Mark Warner,Patrick J. Leahy,Patrick J. Leahy,Patty Murray,Maria Cantwell,Tammy Baldwin,Tammy Baldwin,Joe Manchin III,Joe Manchin III,Angus King,Angus King,Bernard Sanders,Bernard Sanders,Lisa Murkowski,Dan Sullivan,Dan Sullivan,Richard C. Shelby,John Boozman,Tom Cotton,Tom Cotton,Martha McSally,Cory Gardner,Cory Gardner,Marco Rubio,Rick Scott,Marco Rubio,Johnny Isakson,David Perdue,David Perdue,Charles E. Grassley,Joni Ernst,Joni Ernst,Michael D. Crapo,Jim Risch,Jim Risch,Mike Braun,Todd Young,Todd Young,Jerry Moran,Pat Roberts,Mitch McConnell,Rand Paul,Rand Paul,Bill Cassidy,John Kennedy,John Kennedy,Susan Collins,Susan Collins,Roy Blunt,Joshua Hawley,Cindy Hyde-Smith,Roger Wicker,Cindy Hyde-Smith,Steve Daines,Steve Daines,Thom Tillis,Thom Tillis,Richard M. Burr,John Hoeven,Kevin Cramer,Deb Fischer,Deb Fischer,Ben Sasse,Ben Sasse,Rob Portman,James M. Inhofe,James Lankford,Patrick J. Toomey,Lindsey Graham,Tim Scott,Tim Scott,Mike Rounds,John Thune,Lamar Alexander,Marsha Blackburn,John Cornyn,Ted Cruz,Mike Lee,Mitt Romney,Mike Lee,Ron Johnson,Ron Johnson,Shelley Moore Capito,John Barrasso,Michael B. Enzi,Michael B. Enzi
congress,chamber,session,roll_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Senate,1,1,Yes,,Yes,,No,No,,No,,No,No,,No,,No,,No,,No,No,,,No,,No,,No,No,No,,,No,,No,,No,,No,No,,,No,No,No,,,Yes,No,,No,,No,,,No,,No,,No,No,,No,,,No,,No,No,,No,,,No,,No,No,,No,No,No,,Yes,,No,,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,No,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,2,Yes,,Yes,,No,No,,No,,No,No,,No,,No,,No,,No,No,,,No,,No,,No,No,No,,,No,,No,,No,,No,No,,,No,No,No,,,Yes,No,,No,,No,,,No,,No,,No,No,,No,,,No,,No,No,,No,,,No,,No,No,,No,No,No,,Yes,,No,,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,Not Voting,,Yes,Yes,,Yes,,Yes,Yes,,Yes,Not Voting,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Not Voting,Not Voting,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,3,Yes,,Yes,,No,No,,No,,No,No,,No,,No,,No,,No,Not Voting,,,Not Voting,,No,,No,No,No,,,No,,No,,No,,No,No,,,No,No,No,,,No,No,,No,,No,,,No,,No,,No,No,,No,,,No,,No,No,,No,,,No,,No,No,,No,No,No,,Yes,,No,,,No,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,,Not Voting,Not Voting,,Yes,Yes,,Not Voting,,Yes,Yes,,Yes,Not Voting,Yes,No,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Not Voting,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,4,No,,No,,No,No,,No,,No,No,,No,,No,,No,,No,No,,,No,,No,,No,No,No,,,No,,No,,No,,No,No,,,No,No,No,,,No,No,,No,,No,,,No,,Not Voting,,No,No,,No,,,No,,No,No,,No,,,No,,No,No,,No,No,No,,No,,No,,,No,Yes,,Yes,Yes,No,,No,No,,No,No,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,No,Yes,Yes,,Yes,Yes,No,,No,,Yes,No,,Yes,Yes,,No,Yes,,Yes,Yes,Yes,,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,
116,Senate,1,5,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,,Yes,,,Yes,,Not Voting,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,Yes,No,,No,No,Yes,,Yes,Yes,,Yes,Yes,No,,No,No,,No,No,,No,,No,No,,No,Yes,No,No,,No,No,Yes,,Yes,,No,Yes,,No,No,,Yes,No,,No,No,No,,No,,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,,,No,No,No,No,
