,current_party,district,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
A000374,R,5,0.514,2021-01-03,Ralph,True,Abraham,A000374,,Ralph Abraham,R,2015-01-06,LA
A000370,D,12,-0.469,2021-01-03,Alma,True,Adams,A000370,,Alma Adams,D,2014-11-12,NC
A000055,R,4,0.364,2021-01-03,Robert,True,Aderholt,A000055,B.,Robert B. Aderholt,R,1997-01-07,AL
A000371,D,31,-0.287,2021-01-03,Pete,True,Aguilar,A000371,,Pete Aguilar,D,2015-01-06,CA
A000372,R,12,0.639,2021-01-03,Rick,True,Allen,A000372,,Rick Allen,R,2015-01-06,GA
A000376,D,32,,2021-01-03,Colin,True,Allred,A000376,,Colin Allred,D,2019-01-03,TX
A000367,R,3,0.64,2021-01-03,Justin,True,Amash,A000367,,Justin Amash,R,2011-01-04,MI
A000369,R,2,0.382,2021-01-03,Mark,True,Amodei,A000369,,Mark Amodei,R,2011-09-15,NV
A000377,R,1,,2021-01-03,Kelly,True,Armstrong,A000377,,Kelly Armstrong,R,2019-01-03,ND
A000375,R,19,0.522,2021-01-03,Jodey,True,Arrington,A000375,,Jodey Arrington,R,2017-01-03,TX
A000378,D,3,,2021-01-03,Cynthia,True,Axne,A000378,,Cynthia Axne,D,2019-01-03,IA
B001291,R,36,0.707,2021-01-03,Brian,True,Babin,B001291,,Brian Babin,R,2015-01-06,TX
B001298,R,2,0.411,2021-01-03,Don,True,Bacon,B001298,,Don Bacon,R,2017-01-03,NE
B001307,R,4,,2021-01-03,James,True,Baird,B001307,,James Baird,R,2019-01-03,IN
B001306,R,12,,2021-01-03,Troy,True,Balderson,B001306,,Troy Balderson,R,2018-09-05,OH
B001299,R,3,0.665,2021-01-03,Jim,True,Banks,B001299,,Jim Banks,R,2017-01-03,IN
B001282,R,6,0.496,2021-01-03,Andy,True,Barr,B001282,,Andy Barr,R,2013-01-03,KY
B001300,D,44,-0.508,2021-01-03,Nanette,True,Barragán,B001300,,Nanette Barragán,D,2017-01-03,CA
B001270,D,37,-0.587,2021-01-03,Karen,True,Bass,B001270,,Karen Bass,D,2011-01-04,CA
B001281,D,3,-0.428,2021-01-03,Joyce,True,Beatty,B001281,,Joyce Beatty,D,2013-01-03,OH
B001287,D,7,-0.229,2021-01-03,Ami,True,Bera,B001287,,Ami Bera,D,2013-01-03,CA
B001301,R,1,0.455,2021-01-03,Jack,True,Bergman,B001301,,Jack Bergman,R,2017-01-03,MI
B001292,D,8,-0.387,2021-01-03,Donald,True,Beyer,B001292,,Donald Beyer,D,2015-01-06,VA
B001302,R,5,0.904,2021-01-03,Andy,True,Biggs,B001302,,Andy Biggs,R,2017-01-03,AZ
B001257,R,12,0.405,2021-01-03,Gus,True,Bilirakis,B001257,,Gus Bilirakis,R,2007-01-03,FL
B000490,D,2,-0.281,2021-01-03,Sanford,True,Bishop,B000490,D.,Sanford D. Bishop Jr.,D,1993-01-05,GA
B001250,R,1,0.53,2021-01-03,Rob,True,Bishop,B001250,,Rob Bishop,R,2003-01-07,UT
B000574,D,3,-0.427,2021-01-03,Earl,True,Blumenauer,B000574,,Earl Blumenauer,D,1995-01-04,OR
B001303,D,1,-0.325,2021-01-03,Lisa,True,Blunt Rochester,B001303,,Lisa Blunt Rochester,D,2017-01-03,DE
