,current_party,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
J000300,D,-0.105,2021-01-03,Doug,True,Jones,J000300,,Doug Jones,D,2018-01-03,AL
S001191,D,-0.106,2021-01-03,Kyrsten,True,Sinema,S001191,,Kyrsten Sinema,D,2019-01-03,AZ
H001075,D,-0.696,2021-01-03,Kamala,True,Harris,H001075,,Kamala Harris,D,2017-01-03,CA
F000062,D,-0.27,2021-01-03,Dianne,True,Feinstein,F000062,,Dianne Feinstein,D,1992-11-10,CA
B001267,D,-0.209,2021-01-03,Michael,True,Bennet,B001267,,Michael Bennet,D,2009-01-22,CO
B001277,D,-0.413,2021-01-03,Richard,True,Blumenthal,B001277,,Richard Blumenthal,D,2011-01-05,CT
M001169,D,-0.302,2021-01-03,Christopher,True,Murphy,M001169,S.,Christopher S. Murphy,D,2013-01-03,CT
C001088,D,-0.238,2021-01-03,Christopher,True,Coons,C001088,A.,Christopher A. Coons,D,2010-11-15,DE
C000174,D,-0.175,2021-01-03,Thomas,True,Carper,C000174,R.,Thomas R. Carper,D,2001-01-03,DE
H001042,D,-0.492,2021-01-03,Mazie,True,Hirono,H001042,K.,Mazie K. Hirono,D,2013-01-03,HI
S001194,D,-0.425,2021-01-03,Brian,True,Schatz,S001194,,Brian Schatz,D,2012-12-27,HI
D000563,D,-0.361,2021-01-03,Richard,True,Durbin,D000563,J.,Richard J. Durbin,D,1997-01-07,IL
D000622,D,-0.323,2021-01-03,Tammy,True,Duckworth,D000622,,Tammy Duckworth,D,2017-01-03,IL
W000817,D,-0.767,2021-01-03,Elizabeth,True,Warren,W000817,,Elizabeth Warren,D,2013-01-03,MA
M000133,D,-0.505,2021-01-03,Edward,True,Markey,M000133,J.,Edward J. Markey,D,2013-07-16,MA
V000128,D,-0.39,2021-01-03,Chris,True,Van Hollen,V000128,,Chris Van Hollen,D,2017-01-03,MD
C000141,D,-0.326,2021-01-03,Benjamin,True,Cardin,C000141,L.,Benjamin L. Cardin,D,2007-01-04,MD
S000770,D,-0.332,2021-01-03,Debbie,True,Stabenow,S000770,,Debbie Stabenow,D,2001-01-03,MI
P000595,D,-0.24,2021-01-03,Gary,True,Peters,P000595,,Gary Peters,D,2015-01-06,MI
S001203,D,-0.364,2021-01-03,Tina,True,Smith,S001203,,Tina Smith,D,2018-01-03,MN
K000367,D,-0.257,2021-01-03,Amy,True,Klobuchar,K000367,,Amy Klobuchar,D,2007-01-04,MN
T000464,D,-0.212,2021-01-03,Jon,True,Tester,T000464,,Jon Tester,D,2007-01-04,MT
H001076,D,-0.252,2021-01-03,Margaret,True,Hassan,H001076,,Margaret Hassan,D,2017-01-03,NH
S001181,D,-0.249,2021-01-03,Jeanne,True,Shaheen,S001181,,Jeanne Shaheen,D,2009-01-06,NH
B001288,D,-0.62,2021-01-03,Cory,True,Booker,B001288,,Cory Booker,D,2013-10-31,NJ
M000639,D,-0.363,2021-01-03,Robert,True,Menendez,M000639,,Robert Menendez,D,2006-01-18,NJ
U000039,D,-0.456,2021-01-03,Tom,True,Udall,U000039,,Tom Udall,D,2009-01-06,NM
H001046,D,-0.305,2021-01-03,Martin,True,Heinrich,H001046,,Martin Heinrich,D,2013-01-03,NM
C001113,D,-0.38,2021-01-03,Catherine,True,Cortez Masto,C001113,,Catherine Cortez Masto,D,2017-01-03,NV
R000608,D,-0.248,2021-01-03,Jacky,True,Rosen,R000608,,Jacky Rosen,D,2019-01-03,NV
G000555,D,-0.427,2021-01-03,Kirsten,True,Gillibrand,G000555,E.,Kirsten E. Gillibrand,D,2009-01-27,NY
S000148,D,-0.352,2021-01-03,Charles,True,Schumer,S000148,E.,Charles E. Schumer,D,1999-01-06,NY
B000944,D,-0.435,2021-01-03,Sherrod,True,Brown,B000944,,Sherrod Brown,D,2007-01-04,OH
M001176,D,-0.475,2021-01-03,Jeff,True,Merkley,M001176,,Jeff Merkley,D,2009-01-06,OR
W000779,D,-0.32,2021-01-03,Ron,True,Wyden,W000779,,Ron Wyden,D,1996-02-06,OR
C001070,D,-0.304,2021-01-03,Bob,True,Casey,C001070,,Bob Casey,D,2007-01-04,PA
W000802,D,-0.393,2021-01-03,Sheldon,True,Whitehouse,W000802,,Sheldon Whitehouse,D,2007-01-04,RI
R000122,D,-0.381,2021-01-03,Jack,True,Reed,R000122,,Jack Reed,D,1997-01-07,RI
K000384,D,-0.237,2021-01-03,Tim,True,Kaine,K000384,,Tim Kaine,D,2013-01-03,VA
W000805,D,-0.196,2021-01-03,Mark,True,Warner,W000805,,Mark Warner,D,2009-01-06,VA
L000174,D,-0.369,2021-01-03,Patrick,True,Leahy,L000174,J.,Patrick J. Leahy,D,1975-01-14,VT
M001111,D,-0.343,2021-01-03,Patty,True,Murray,M001111,,Patty Murray,D,1993-01-05,WA
C000127,D,-0.291,2021-01-03,Maria,True,Cantwell,C000127,,Maria Cantwell,D,2001-01-03,WA
B001230,D,-0.518,2021-01-03,Tammy,True,Baldwin,B001230,,Tammy Baldwin,D,2013-01-03,WI
M001183,D,-0.058,2021-01-03,Joe,True,Manchin,M001183,,Joe Manchin III,D,2010-11-15,WV
K000383,ID,-0.154,2021-01-03,Angus,True,King,K000383,,Angus King,ID,2013-01-03,ME
S000033,I,-0.524,2021-01-03,Bernard,True,Sanders,S000033,,Bernard Sanders,ID,2007-01-04,VT
M001153,R,0.209,2021-01-03,Lisa,True,Murkowski,M001153,,Lisa Murkowski,R,2001-01-03,AK
S001198,R,0.465,2021-01-03,Dan,True,Sullivan,S001198,,Dan Sullivan,R,2015-01-06,AK
S000320,R,0.432,2021-01-03,Richard,True,Shelby,S000320,C.,Richard C. Shelby,R,1987-01-06,AL
B001236,R,0.401,2021-01-03,John,True,Boozman,B001236,,John Boozman,R,2011-01-05,AR
C001095,R,0.603,2021-01-03,Tom,True,Cotton,C001095,,Tom Cotton,R,2015-01-06,AR
M001197,R,0.347,2021-01-03,Martha,True,McSally,M001197,,Martha McSally,R,2019-01-03,AZ
