,year,state_po,county,FIPS,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean
0,2000,AL,Autauga,1001.0,11993.0,17208,4942.0,0.4097512784751278,0.4149126948782437
1,2000,AL,Baldwin,1003.0,40872.0,56480,13997.0,0.4758321529745042,0.4809935693776201
2,2000,AL,Barbour,1005.0,5096.0,10395,5188.0,-0.00885040885040883,-0.003688992447292927
3,2000,AL,Bibb,1007.0,4273.0,7101,2710.0,0.22010984368398812,0.22527126008710402
4,2000,AL,Blount,1009.0,12667.0,17973,4977.0,0.4278640182495966,0.4330254346527125
5,2000,AL,Bullock,1011.0,1433.0,4904,3395.0,-0.40008156606851547,-0.39492014966539957
6,2000,AL,Butler,1013.0,4127.0,7803,3606.0,0.06676919133666542,0.07193060773978133
7,2000,AL,Calhoun,1015.0,22306.0,38909,15781.0,0.16769898995091115,0.17286040635402705
8,2000,AL,Chambers,1017.0,6037.0,11834,5616.0,0.03557546053743449,0.04073687694055039
9,2000,AL,Cherokee,1019.0,4154.0,7823,3497.0,0.08398312667774505,0.08914454308086095
10,2000,AL,Chilton,1021.0,10066.0,15092,4806.0,0.3485290219984098,0.3536904384015257
11,2000,AL,Choctaw,1023.0,3600.0,7374,3707.0,-0.014510442093843223,-0.00934902569072732
12,2000,AL,Clarke,1025.0,5988.0,10752,4679.0,0.12174479166666674,0.12690620806978264
13,2000,AL,Clay,1027.0,3719.0,5883,2045.0,0.28454869964303925,0.28971011604615515
14,2000,AL,Cleburne,1029.0,3333.0,5092,1664.0,0.3277690494893951,0.332930465892511
15,2000,AL,Coffee,1031.0,9938.0,15434,5220.0,0.3056887391473371,0.310850155550453
16,2000,AL,Colbert,1033.0,10518.0,21532,10543.0,-0.0011610626044956107,0.004000353798620293
17,2000,AL,Conecuh,1035.0,2699.0,5551,2783.0,-0.015132408575031508,-0.009970992171915605
18,2000,AL,Coosa,1037.0,2382.0,4567,2104.0,0.060871469235822206,0.06603288563893811
19,2000,AL,Covington,1039.0,8961.0,13613,4440.0,0.33210901344303245,0.33727042984614836
20,2000,AL,Crenshaw,1041.0,2793.0,4795,1934.0,0.17914494264859232,0.18430635905170822
21,2000,AL,Cullman,1043.0,19157.0,29525,9758.0,0.31834038950042337,0.3235018059035393
22,2000,AL,Dale,1045.0,10593.0,15806,4906.0,0.35980007592053653,0.36496149232365244
23,2000,AL,Dallas,1047.0,7360.0,18464,10967.0,-0.1953531195840555,-0.1901917031809396
24,2000,AL,DeKalb,1049.0,12827.0,20285,7056.0,0.2844959329553857,0.2896573493585016
25,2000,AL,Elmore,1051.0,16777.0,23804,6652.0,0.4253486808939674,0.4305100972970833
26,2000,AL,Escambia,1053.0,6975.0,11660,4523.0,0.21029159519725554,0.21545301160037145
27,2000,AL,Etowah,1055.0,21087.0,39348,17433.0,0.09286367795059464,0.09802509435371054
28,2000,AL,Fayette,1057.0,4582.0,7808,3064.0,0.19441598360655732,0.19957740000967322
29,2000,AL,Franklin,1059.0,6119.0,11103,4793.0,0.11942718184274514,0.12458859824586105
30,2000,AL,Geneva,1061.0,6588.0,9559,2769.0,0.3995187781148655,0.40468019451798143
31,2000,AL,Greene,1063.0,850.0,4396,3504.0,-0.6037306642402184,-0.5985692478371025
32,2000,AL,Hale,1065.0,2984.0,7731,4652.0,-0.21575475358944513,-0.21059333718632922
33,2000,AL,Henry,1067.0,4054.0,6932,2782.0,0.1834968263127525,0.1886582427158684
34,2000,AL,Houston,1069.0,22150.0,32057,9412.0,0.3973547119193936,0.4025161283225095
35,2000,AL,Jackson,1071.0,8475.0,17906,9066.0,-0.03300569641460965,-0.02784428001149375
36,2000,AL,Jefferson,1073.0,138491.0,273763,129889.0,0.03142133889532184,0.03658275529843774
37,2000,AL,Lamar,1075.0,4470.0,7249,2653.0,0.25065526279486827,0.2558166791979842
38,2000,AL,Lauderdale,1077.0,17478.0,32137,13875.0,0.1121137629523602,0.1172751793554761
39,2000,AL,Lawrence,1079.0,5671.0,12185,6296.0,-0.051292572835453465,-0.04613115643233756
40,2000,AL,Lee,1081.0,22433.0,38264,14574.0,0.2053888772736776,0.2105502936767935
41,2000,AL,Limestone,1083.0,14204.0,23634,8992.0,0.22052974528222047,0.22569116168533637
42,2000,AL,Lowndes,1085.0,1638.0,6243,4557.0,-0.4675636713118693,-0.4624022549087534
43,2000,AL,Macon,1087.0,1091.0,8831,7665.0,-0.7444230551466424,-0.7392616387435265
44,2000,AL,Madison,1089.0,62151.0,113318,48199.0,0.12312254010836765,0.12828395651148355
45,2000,AL,Marengo,1091.0,4690.0,9608,4841.0,-0.01571606994171526,-0.010554653538599357
46,2000,AL,Marion,1093.0,6910.0,11756,4600.0,0.19649540660088466,0.20165682300400056
47,2000,AL,Marshall,1095.0,17084.0,27989,10381.0,0.23948694129836728,0.2446483577014832
48,2000,AL,Mobile,1097.0,78162.0,139745,58640.0,0.13969730580700568,0.14485872221012158
49,2000,AL,Monroe,1099.0,5153.0,8951,3741.0,0.15774773768294043,0.16290915408605633
50,2000,AL,Montgomery,1101.0,38827.0,80328,40371.0,-0.019221193108256207,-0.014059776705140303
51,2000,AL,Morgan,1103.0,25774.0,42681,16060.0,0.2275954171645463,0.2327568335676622
52,2000,AL,Perry,1105.0,1732.0,5787,4020.0,-0.3953689303611543,-0.3902075139580384
53,2000,AL,Pickens,1107.0,4306.0,8540,4143.0,0.0190866510538642,0.024248067456980105
54,2000,AL,Pike,1109.0,6058.0,10544,4357.0,0.16132397572078905,0.16648539212390495
55,2000,AL,Randolph,1111.0,4666.0,7919,3094.0,0.19850991286778635,0.20367132927090226
56,2000,AL,Russell,1113.0,6198.0,14775,8396.0,-0.14876480541455162,-0.1436033890114357
57,2000,AL,St. Clair,1115.0,17117.0,24090,6485.0,0.4413449564134495,0.4465063728165654
58,2000,AL,Shelby,1117.0,47651.0,62128,13183.0,0.5547901107391192,0.5599515271422351
59,2000,AL,Sumter,1119.0,1629.0,6088,4415.0,-0.4576215505913272,-0.4524601341882113
60,2000,AL,Talladega,1121.0,13807.0,25451,11264.0,0.09991748850732785,0.10507890491044375
61,2000,AL,Tallapoosa,1123.0,9805.0,16253,6183.0,0.22285116593859594,0.22801258234171184
