year,state_po,FIPS,candidatevotes_rep,totalvotes,candidatevotes_dem,lean
2000,AK,108820.0,167398.0,285530,79004.0,0.30957867824746954
2000,AL,71489.0,944409.0,1672551,695602.0,0.14875899150459393
2000,AR,380625.0,472940.0,921781,422768.0,0.05442941436197973
2000,AZ,60208.0,781652.0,1534113,685341.0,0.06277959967746838
2000,CA,351364.0,4567429.0,10965856,5861203.0,-0.11798203441664751
2000,CO,507969.0,883745.0,1741365,738227.0,0.08356547880541992
2000,CT,72064.0,561094.0,1459525,816015.0,-0.17466024905363048
2000,DC,11001.0,18073.0,201894,171923.0,-0.7620335423539085
2000,DE,30009.0,137288.0,327529,180068.0,-0.13061438834423827
2000,FL,808550.0,2911215.0,5960660,2911417.0,-3.3888864655939877e-05
2000,GA,2092677.0,1419720.0,2596804,1116230.0,0.11687058399478739
2000,HI,60020.0,137819.0,367871,205242.0,-0.18327892114355304
2000,IA,1890801.0,634373.0,1315563,638517.0,-0.0031499821749319534
2000,ID,705936.0,336937.0,501621,138637.0,0.3953183778191105
2000,IL,1744404.0,2019421.0,4742123,2589026.0,-0.12011603241839153
2000,IN,1664464.0,1245836.0,2199305,901980.0,0.15634757343797245
2000,KS,2111025.0,622332.0,1072216,399276.0,0.20803270982712435
2000,KY,2534400.0,872492.0,1544187,638898.0,0.15127312948496519
2000,LA,1412096.0,927871.0,1765656,792344.0,0.07675730719913737
2000,MA,350196.0,878502.0,2702984,1616487.0,-0.27302603345043847
2000,MD,577079.0,813797.0,2025480,1145782.0,-0.1639043584730533
2000,ME,368256.0,286616.0,651817,319951.0,-0.051141654789611246
2000,MI,2164889.0,1953139.0,4232711,2170418.0,-0.05133329442997642
2000,MN,2356569.0,1109659.0,2438685,1168266.0,-0.024032214082589598
2000,MO,3384537.0,1189924.0,2359892,1111138.0,0.033385426112720384
2000,MS,2302724.0,573230.0,994926,404964.0,0.169124135865381
2000,MT,1683136.0,240178.0,410986,137126.0,0.25074333432282364
2000,NC,3710000.0,1631163.0,2911262,1257692.0,0.12828491561391592
2000,ND,2016809.0,174852.0,288267,95284.0,0.2760218824908852
2000,NE,2891649.0,433862.0,697019,231780.0,0.2899232302132366
2000,NH,330100.0,273559.0,569081,266348.0,0.012671306896557766
2000,NJ,714441.0,1284173.0,3187226,1788850.0,-0.15834365056007954
2000,NM,1155995.0,286417.0,598605,286783.0,-0.000611421555115621
2000,NV,544774.0,301575.0,608970,279978.0,0.035464801221735065
2000,NY,2235844.0,2403374.0,6821999,4107697.0,-0.2498275065710212
2000,OH,3439744.0,2351209.0,4705457,2186190.0,0.035069707363174274
2000,OK,3085929.0,744337.0,1234229,474276.0,0.21880947538908901
2000,OR,1477296.0,713577.0,1533968,720342.0,-0.004410131110948845
2000,PA,2818489.0,2281127.0,4912185,2485967.0,-0.041700383841406674
2000,RI,220025.0,130555.0,409112,249508.0,-0.2907590097577191
2000,SC,2072116.0,786426.0,1383777,566039.0,0.15926482373966327
2000,SD,3040496.0,190700.0,316269,118804.0,0.2273254729360133
2000,TN,4474025.0,1061949.0,2076181,981720.0,0.03864258463014547
2000,TX,12256516.0,3799639.0,6407637,2433746.0,0.21316641376532408
2000,UT,1421841.0,515096.0,770754,203053.0,0.4048542076979166
2000,VA,6869626.0,1436877.0,2737915,1216422.0,0.08051930027046134
2000,VT,700196.0,119775.0,294308,149022.0,-0.09937548418663444
2000,WA,2068521.0,1108864.0,2488441,1247652.0,-0.05577307237744433
2000,WI,3965119.0,1237279.0,2598607,1242987.0,-0.0021965614654312904
2000,WV,2973025.0,336475.0,648124,295497.0,0.0632255556035573
2000,WY,1288529.0,147947.0,218351,60481.0,0.4005752206310023
2004,AK,108820.0,292267.0,488693,180365.0,0.2289822035511047
2004,AL,71489.0,1176394.0,1883415,693933.0,0.256162874353236
2004,AR,380625.0,572770.0,1053694,468631.0,0.09883229856106235
2004,AZ,60208.0,1104294.0,2012585,893524.0,0.10472601157218203
2004,CA,351364.0,5501496.0,12383678,6737355.0,-0.09979741075308968
2004,CO,515983.0,1101255.0,2129630,1001732.0,0.046732531003038036
2004,CT,72064.0,693826.0,1578769,857488.0,-0.10366431061162212
2004,DC,11001.0,21256.0,227586,202970.0,-0.7984410288857838
2004,DE,30009.0,171651.0,375170,200141.0,-0.07593890769517825
2004,FL,808550.0,3964522.0,7609810,3583544.0,0.05006406204622721
2004,GA,2092677.0,1914254.0,3298790,1366149.0,0.1661533471363743
2004,HI,60020.0,194116.0,428555,231335.0,-0.08684766249372894
2004,IA,1890801.0,751957.0,1506908,741898.0,0.0066752582108529634
2004,ID,705936.0,409235.0,598376,181098.0,0.38126027781862903
2004,IL,1744404.0,2346608.0,5275415,2891989.0,-0.10338162969169257
2004,IN,1664464.0,1479438.0,2468002,969011.0,0.20681790371320602
2004,KS,2111025.0,736456.0,1187756,434993.0,0.25380886309982864
2004,KY,2534400.0,1069439.0,1795860,712733.0,0.19862684173599282
2004,LA,1412096.0,1102169.0,1943106,820299.0,0.1450615663787771
2004,MA,350196.0,1071109.0,2912388,1803800.0,-0.2515773997145984
2004,MD,577079.0,1024703.0,2386678,1334493.0,-0.12979966296249423
2004,ME,368256.0,308997.0,686510,364153.0,-0.08034260243842045
2004,MI,2164889.0,2313746.0,4839252,2479183.0,-0.034186481712463024
2004,MN,2356569.0,1346451.0,2827850,1444751.0,-0.034761391162897615
2004,MO,3384537.0,1455713.0,2731364,1259171.0,0.0719574542243363
2004,MS,2302724.0,666295.0,1114859,440034.0,0.20295032824778741
2004,MT,1683136.0,266063.0,450434,173710.0,0.20503114773751535
2004,NC,3710000.0,1961166.0,3501007,1525849.0,0.12434051117292821
2004,ND,2016809.0,196651.0,312833,111052.0,0.27362522496028235
2004,NE,2891649.0,512814.0,778186,254328.0,0.3321648037872693
2004,NH,330100.0,331237.0,677662,340511.0,-0.013685288536172902
2004,NJ,714441.0,1668003.0,3609691,1911430.0,-0.06743707425372425
2004,NM,1155995.0,376930.0,756304,370942.0,0.007917451183651003
2004,NV,544774.0,418690.0,829587,397190.0,0.025916510263540804
2004,NY,2235844.0,2806993.0,7391036,4180755.0,-0.18586866577297145
2004,OH,3439744.0,2858727.0,5625631,2739952.0,0.021113187125141986
2004,OK,3085929.0,959792.0,1463758,503966.0,0.31140803329512123
2004,OR,1477296.0,866831.0,1836782,943163.0,-0.0415574629977864
2004,PA,2818489.0,2793847.0,5765764,2938095.0,-0.025018020161768684
2004,RI,220025.0,169046.0,436289,259760.0,-0.20792181329348203
2004,SC,2072116.0,937974.0,1617730,661699.0,0.17077942549127478
2004,SD,3040496.0,232584.0,388215,149244.0,0.21467485800394115
2004,TN,4474025.0,1381225.0,2430494,1032910.0,0.14331037229468574
2004,TX,12256516.0,4526917.0,7410749,2832704.0,0.22861562306320188
2004,UT,1421841.0,663742.0,927844,241199.0,0.45540306344601034
2004,VA,6869626.0,1716959.0,3198367,1454742.0,0.08198465029185209
2004,VT,700196.0,121180.0,312309,184067.0,-0.20136147213176697
2004,WA,2068521.0,1304894.0,2859084,1510201.0,-0.07180866319422585
2004,WI,3965119.0,1478120.0,2997007,1489504.0,-0.0037984562598619154
2004,WV,2973025.0,423550.0,755659,326541.0,0.1283766884269228
2004,WY,1288529.0,167629.0,243428,70776.0,0.39787123913436423
2008,AK,108820.0,193841.0,326197,123594.0,0.21535145939416983
2008,AL,71489.0,1266546.0,2099819,813479.0,0.2157647873459569
2008,AR,380625.0,638017.0,1086617,422310.0,0.19851244734805362
2008,AZ,60208.0,1230111.0,2293475,1034707.0,0.08519996947862962
2008,CA,351364.0,5011781.0,13561900,8274473.0,-0.24057779514669775
2008,CO,515983.0,1073589.0,2401361,1288576.0,-0.08952714731354428
2008,CT,72064.0,628041.0,1647085,1000291.0,-0.2260053367008989
2008,DC,11001.0,17367.0,265853,245800.0,-0.8592455229017539
2008,DE,30009.0,152374.0,412412,255459.0,-0.2499563543252864
2008,FL,808550.0,4046212.0,8391639,4282366.0,-0.028141582353578387
2008,GA,2092677.0,2048744.0,3925278,1844137.0,0.05212548002969475
2008,HI,60020.0,120429.0,452742,325201.0,-0.45229291737899285
2008,IA,1890801.0,682379.0,1536820,828940.0,-0.09536640595515422
2008,ID,705936.0,403012.0,655032,236440.0,0.254295973326494
2008,IL,1744404.0,2031527.0,5523051,3419673.0,-0.25133680641370143
2008,IN,1664464.0,1345648.0,2751054,1374039.0,-0.010320044608357393
2008,KS,2111025.0,699655.0,1235872,514765.0,0.14960287149478269
2008,KY,2534400.0,1048462.0,1826508,751985.0,0.16231902625118533
2008,LA,1412096.0,1148015.0,1959085,781574.0,0.18704701429493864
2008,MA,350196.0,1108885.0,3081336,1904103.0,-0.2580757178055233
2008,MD,577079.0,959862.0,2631596,1629467.0,-0.2544482511753323
2008,ME,368256.0,295273.0,731163,421923.0,-0.17321718960067733
2008,MI,2164889.0,2048639.0,5001766,2872579.0,-0.1647298174284843
2008,MN,2356569.0,1275409.0,2910369,1573354.0,-0.1023736165414077
2008,MO,3384537.0,1445814.0,2925205,1441911.0,0.001334265461736872
2008,MS,2302724.0,724497.0,1285259,554662.0,0.13214068137239265
2008,MT,1683136.0,243860.0,496072,232156.0,0.023593349352513338
2008,NC,3710000.0,2128474.0,4310789,2142651.0,-0.0032887251034555143
2008,ND,2016809.0,168601.0,316621,141278.0,0.0862956026290107
2008,NE,2891649.0,452979.0,801281,333319.0,0.1493358759286692
2008,NH,330100.0,316534.0,710970,384826.0,-0.09605468585172378
2008,NJ,714441.0,1613207.0,3838498,2215422.0,-0.1568881890781238
2008,NM,1155995.0,346832.0,830158,472422.0,-0.15128445428460613
2008,NV,544774.0,412827.0,967848,533736.0,-0.12492560815334647
2008,NY,2235844.0,2742298.0,7591233,4769700.0,-0.26707150208668345
2008,OH,3439744.0,2674491.0,5698048,2933388.0,-0.04543608618249623
2008,OK,3085929.0,960165.0,1462661,502496.0,0.31290162245387004
2008,OR,1477296.0,738475.0,1827864,1037291.0,-0.16347824564628444
2008,PA,2818489.0,2649934.0,5977981,3266523.0,-0.10314335224551574
2008,RI,220025.0,165391.0,471766,296571.0,-0.27806158137720816
2008,SC,2072116.0,1034896.0,1920969,862449.0,0.08977083961271626
2008,SD,3040496.0,203054.0,377708,170924.0,0.08506571213741831
2008,TN,4474025.0,1479178.0,2600124,1087437.0,0.15066242994564877
2008,TX,12256516.0,4479328.0,8077795,3528633.0,0.11769239006436782
2008,UT,1421841.0,596030.0,952370,327670.0,0.28178124048426556
