,year,state_po,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean,compound_lean
0,2004,AK,292267.0,488693,180365.0,0.2289822035511047,0.20418736715775265,0.23182554903096086
1,2004,AL,1176394.0,1883415,693933.0,0.256162874353236,0.23136803795988392,0.2120061304468404
2,2004,AR,572770.0,1053694,468631.0,0.09883229856106235,0.07403746216771029,0.07042580431705663
3,2004,AZ,1104294.0,2012585,893524.0,0.10472601157218203,0.07993117517882997,0.07693363540426855
4,2004,CA,5501496.0,12383678,6737355.0,-0.09979741075308968,-0.12459224714644174,-0.1216493398632142
5,2004,CO,1101255.0,2129630,1001732.0,0.046732531003038036,0.021937694609685976,0.03863499475939844
6,2004,CT,693826.0,1578769,857488.0,-0.10366431061162212,-0.12845914700497418,-0.13871906841635928
7,2004,DC,21256.0,227586,202970.0,-0.7984410288857838,-0.8232358652791358,-0.80664493044705
8,2004,DE,171651.0,375170,200141.0,-0.07593890769517825,-0.10073374408853031,-0.10691355105167832
9,2004,FL,3964522.0,7609810,3583544.0,0.05006406204622721,0.02526922565287515,0.020233801124271353
10,2004,GA,1914254.0,3298790,1366149.0,0.1661533471363743,0.14135851074302225,0.1365268831567425
11,2004,HI,194116.0,428555,231335.0,-0.08684766249372894,-0.111642498887081,-0.12826125035042002
12,2004,IA,751957.0,1506908,741898.0,0.0066752582108529634,-0.018119578182499096,-0.013086825079828335
13,2004,ID,409235.0,598376,181098.0,0.38126027781862903,0.356465441425277,0.36746902962451433
14,2004,IL,2346608.0,5275415,2891989.0,-0.10338162969169257,-0.12817646608504463,-0.12487100356760238
15,2004,IN,1479438.0,2468002,969011.0,0.20681790371320602,0.18202306731985396,0.17689454795016257
16,2004,KS,736456.0,1187756,434993.0,0.25380886309982864,0.22901402670647658,0.22505905158741749
17,2004,KY,1069439.0,1795860,712733.0,0.19862684173599282,0.17383200534264076,0.16948264047900086
