congress,chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
0,house,A000055,Aderholt,AL,4,Republican,117,0.9743589743589743,0.95427874,63
115,house,A000055,Aderholt,AL,4,R,95,0.968421052631579,0.94634916,63
116,house,A000055,Aderholt,AL,4,R,22,1,0.98852012,63
0,house,A000367,Amash,MI,3,Republican,115,0.6,0.80368714,9.4
115,house,A000367,Amash,MI,3,R,96,0.5416666666666666,0.84738551,9.4
116,house,A000367,Amash,MI,3,R,19,0.8947368421052632,0.58289538,9.4
0,house,A000369,Amodei,NV,2,Republican,115,0.991304347826087,0.84457292,12.3
115,house,A000369,Amodei,NV,2,R,94,0.9893617021276596,0.87652676,12.3
116,house,A000369,Amodei,NV,2,R,21,1,0.70154143,12.3
0,house,A000370,Adams,NC,12,Democrat,114,0.14035087719298245,0.16447946,-40
115,house,A000370,Adams,NC,12,D,92,0.17391304347826086,0.20378724,-40
116,house,A000370,Adams,NC,12,D,22,0,1.0149e-4,-40
0,house,A000371,Aguilar,CA,31,Democrat,116,0.22413793103448276,0.25509891,-21.1
115,house,A000371,Aguilar,CA,31,D,94,0.2765957446808511,0.31386763,-21.1
116,house,A000371,Aguilar,CA,31,D,22,0,0.00399616,-21.1
0,house,A000372,Allen,GA,12,Republican,117,0.9743589743589743,0.8911427,16.2
115,house,A000372,Allen,GA,12,R,95,0.968421052631579,0.90578921,16.2
116,house,A000372,Allen,GA,12,R,22,1,0.82789642,16.2
0,house,A000374,Abraham,LA,5,Republican,111,0.9369369369369369,0.94451579,29.4
115,house,A000374,Abraham,LA,5,R,96,0.9270833333333334,0.9458395,29.4
116,house,A000374,Abraham,LA,5,R,15,1,0.936044,29.4
0,house,A000375,Arrington,TX,19,Republican,117,0.9658119658119658,0.95518017,49
115,house,A000375,Arrington,TX,19,R,95,0.968421052631579,0.94961009,49
116,house,A000375,Arrington,TX,19,R,22,0.9545454545454546,0.97923276,49
0,house,A000376,Allred,TX,32,Democrat,21,0,0.11054573,-1.9
116,house,A000376,Allred,TX,32,D,21,0,0.11054573,-1.9
0,house,A000377,Armstrong,ND,0,Republican,22,0.9545454545454546,0.96574078,35.72888837
116,house,A000377,Armstrong,ND,0,R,22,0.9545454545454546,0.96574078,35.72888837
0,house,A000378,Axne,IA,3,Democrat,22,0,0.28815683,3.5
116,house,A000378,Axne,IA,3,D,22,0,0.28815683,3.5
0,house,B000213,Barton,TX,6,Republican,92,0.9239130434782609,0.87643124,12.3
115,house,B000213,Barton,TX,6,R,92,0.9239130434782609,0.87643124,12.3
0,house,B000287,Becerra,CA,34,Democrat,1,0,1.4e-7,-72.9
115,house,B000287,Becerra,CA,34,D,1,0,1.4e-7,-72.9
0,house,B000490,Bishop,GA,2,Democrat,115,0.3652173913043478,0.36882453,-11.7
115,house,B000490,Bishop,GA,2,D,93,0.45161290322580644,0.45128279,-11.7
116,house,B000490,Bishop,GA,2,D,22,0,0.02025099,-11.7
0,house,B000574,Blumenauer,OR,3,Democrat,112,0.14285714285714285,0.15559348,-48.2
115,house,B000574,Blumenauer,OR,3,D,91,0.17582417582417584,0.19149721,-48.2
116,house,B000574,Blumenauer,OR,3,D,21,0,1.062e-5,-48.2
0,house,B000755,Brady,TX,8,Republican,118,0.9915254237288136,0.95555625,48.8
115,house,B000755,Brady,TX,8,R,96,0.9895833333333334,0.95016617,48.8
116,house,B000755,Brady,TX,8,R,22,1,0.97907662,48.8
0,house,B001227,Brady,PA,1,Democrat,93,0.17204301075268819,0.16459382,-61.3
115,house,B001227,Brady,PA,1,D,93,0.17204301075268819,0.16459382,-61.3
115,house,B001243,Blackburn,TN,7,R,87,0.9195402298850575,0.94563949,39.3
0,house,B001248,Burgess,TX,26,Republican,116,0.9568965517241379,0.94153475,26.5
115,house,B001248,Burgess,TX,26,R,94,0.9574468085106383,0.94107564,26.5
116,house,B001248,Burgess,TX,26,R,22,0.9545454545454546,0.94349637,26.5
0,house,B001250,Bishop,UT,1,Republican,115,0.9565217391304348,0.94299275,27.3
115,house,B001250,Bishop,UT,1,R,93,0.956989247311828,0.94214025,27.3
116,house,B001250,Bishop,UT,1,R,22,0.9545454545454546,0.94659652,27.3
0,house,B001251,Butterfield,NC,1,Democrat,116,0.1724137931034483,0.17481986,-37
115,house,B001251,Butterfield,NC,1,D,94,0.2127659574468085,0.21569132,-37
116,house,B001251,Butterfield,NC,1,D,22,0,1.8723e-4,-37
0,house,B001257,Bilirakis,FL,12,Republican,117,0.9743589743589743,0.91305875,18.6
115,house,B001257,Bilirakis,FL,12,R,95,0.9789473684210527,0.92184181,18.6
116,house,B001257,Bilirakis,FL,12,R,22,0.9545454545454546,0.8751319,18.6
0,house,B001260,Buchanan,FL,16,Republican,112,0.9553571428571429,0.81688833,10.7
115,house,B001260,Buchanan,FL,16,R,90,0.9666666666666667,0.86069026,10.7
116,house,B001260,Buchanan,FL,16,R,22,0.9090909090909091,0.63769862,10.7
0,house,B001269,Barletta,PA,11,Republican,92,0.9782608695652174,0.93672465,23.8
115,house,B001269,Barletta,PA,11,R,92,0.9782608695652174,0.93672465,23.8
0,house,B001270,Bass,CA,37,Democrat,109,0.10091743119266056,0.11244583,-76.1
115,house,B001270,Bass,CA,37,D,87,0.12643678160919541,0.14088039,-76.1
116,house,B001270,Bass,CA,37,D,22,0,9e-8,-76.1
0,house,B001273,Black,TN,6,Republican,78,0.9358974358974359,0.95902609,48.9
115,house,B001273,Black,TN,6,R,78,0.9358974358974359,0.95902609,48.9
0,house,B001274,Brooks,AL,5,Republican,114,0.8596491228070176,0.95007886,33.4
115,house,B001274,Brooks,AL,5,R,92,0.8369565217391305,0.94722233,33.4
116,house,B001274,Brooks,AL,5,R,22,0.9545454545454546,0.96202435,33.4
0,house,B001275,Bucshon,IN,8,Republican,115,0.9826086956521739,0.95031337,33.7
115,house,B001275,Bucshon,IN,8,R,96,0.9895833333333334,0.94905825,33.7
116,house,B001275,Bucshon,IN,8,R,19,0.9473684210526315,0.95665505,33.7
0,house,B001278,Bonamici,OR,1,Democrat,117,0.1623931623931624,0.23968856,-22.8
115,house,B001278,Bonamici,OR,1,D,95,0.2,0.29451476,-22.8
116,house,B001278,Bonamici,OR,1,D,22,0,0.00293908,-22.8
0,house,B001281,Beatty,OH,3,Democrat,114,0.15789473684210525,0.1663292,-38.4
115,house,B001281,Beatty,OH,3,D,92,0.1956521739130435,0.2060699,-38.4
116,house,B001281,Beatty,OH,3,D,22,0,1.4081e-4,-38.4
0,house,B001282,Barr,KY,6,Republican,118,0.9661016949152542,0.88315756,15.3
115,house,B001282,Barr,KY,6,R,96,0.96875,0.90105912,15.3
116,house,B001282,Barr,KY,6,R,22,0.9545454545454546,0.8050417,15.3
0,house,B001283,Bridenstine,OK,1,Republican,52,0.9423076923076923,0.95711151,28.7
115,house,B001283,Bridenstine,OK,1,R,52,0.9423076923076923,0.95711151,28.7
0,house,B001284,Brooks,IN,5,Republican,118,0.9830508474576272,0.8379508,11.8
115,house,B001284,Brooks,IN,5,R,96,0.9895833333333334,0.87293384,11.8
