statefp,state,maptype,countyfp,county,cd
1,AL,Compact,1001,Autauga County,7
1,AL,Compact,1003,Baldwin County,1
1,AL,Compact,1005,Barbour County,2
1,AL,Compact,1007,Bibb County,7
1,AL,Compact,1009,Blount County,4
1,AL,Compact,1011,Bullock County,2
1,AL,Compact,1013,Butler County,7
1,AL,Compact,1015,Calhoun County,3
1,AL,Compact,1017,Chambers County,2
1,AL,Compact,1019,Cherokee County,3
1,AL,Compact,1021,Chilton County,7
1,AL,Compact,1023,Choctaw County,7
1,AL,Compact,1025,Clarke County,7
1,AL,Compact,1027,Clay County,2
1,AL,Compact,1027,Clay County,3
1,AL,Compact,1029,Cleburne County,3
1,AL,Compact,1031,Coffee County,2
1,AL,Compact,1033,Colbert County,4
1,AL,Compact,1035,Conecuh County,1
1,AL,Compact,1035,Conecuh County,7
1,AL,Compact,1037,Coosa County,2
1,AL,Compact,1039,Covington County,1
1,AL,Compact,1041,Crenshaw County,7
1,AL,Compact,1043,Cullman County,4
1,AL,Compact,1045,Dale County,2
1,AL,Compact,1047,Dallas County,7
1,AL,Compact,1049,DeKalb County,3
1,AL,Compact,1051,Elmore County,2
1,AL,Compact,1051,Elmore County,7
1,AL,Compact,1053,Escambia County,1
1,AL,Compact,1055,Etowah County,3
1,AL,Compact,1057,Fayette County,4
1,AL,Compact,1059,Franklin County,4
1,AL,Compact,1061,Geneva County,2
1,AL,Compact,1063,Greene County,7
1,AL,Compact,1065,Hale County,7
1,AL,Compact,1067,Henry County,2
1,AL,Compact,1069,Houston County,2
1,AL,Compact,1071,Jackson County,5
1,AL,Compact,1073,Jefferson County,6
1,AL,Compact,1075,Lamar County,4
1,AL,Compact,1077,Lauderdale County,4
1,AL,Compact,1079,Lawrence County,4
1,AL,Compact,1081,Lee County,2
1,AL,Compact,1083,Limestone County,5
1,AL,Compact,1085,Lowndes County,7
1,AL,Compact,1087,Macon County,2
1,AL,Compact,1089,Madison County,5
1,AL,Compact,1091,Marengo County,7
1,AL,Compact,1093,Marion County,4
1,AL,Compact,1095,Marshall County,5
1,AL,Compact,1097,Mobile County,1
1,AL,Compact,1099,Monroe County,7
1,AL,Compact,1101,Montgomery County,7
1,AL,Compact,1103,Morgan County,5
1,AL,Compact,1105,Perry County,7
1,AL,Compact,1107,Pickens County,4
1,AL,Compact,1109,Pike County,2
1,AL,Compact,1111,Randolph County,2
1,AL,Compact,1113,Russell County,2
1,AL,Compact,1117,Shelby County,3
1,AL,Compact,1117,Shelby County,6
1,AL,Compact,1115,St. Clair County,3
1,AL,Compact,1119,Sumter County,7
1,AL,Compact,1121,Talladega County,3
1,AL,Compact,1123,Tallapoosa County,2
1,AL,Compact,1125,Tuscaloosa County,4
1,AL,Compact,1125,Tuscaloosa County,7
1,AL,Compact,1127,Walker County,4
1,AL,Compact,1129,Washington County,7
1,AL,Compact,1131,Wilcox County,7
1,AL,Compact,1133,Winston County,4
4,AZ,Compact,4001,Apache County,1
4,AZ,Compact,4003,Cochise County,3
4,AZ,Compact,4005,Coconino County,1
4,AZ,Compact,4007,Gila County,4
4,AZ,Compact,4009,Graham County,3
4,AZ,Compact,4011,Greenlee County,3
4,AZ,Compact,4012,La Paz County,4
4,AZ,Compact,4013,Maricopa County,7
4,AZ,Compact,4013,Maricopa County,9
4,AZ,Compact,4013,Maricopa County,8
4,AZ,Compact,4013,Maricopa County,4
4,AZ,Compact,4013,Maricopa County,5
4,AZ,Compact,4013,Maricopa County,6
4,AZ,Compact,4015,Mohave County,1
4,AZ,Compact,4017,Navajo County,1
4,AZ,Compact,4019,Pima County,3
4,AZ,Compact,4019,Pima County,2
4,AZ,Compact,4021,Pinal County,4
4,AZ,Compact,4021,Pinal County,3
4,AZ,Compact,4023,Santa Cruz County,3
4,AZ,Compact,4025,Yavapai County,1
4,AZ,Compact,4025,Yavapai County,4
4,AZ,Compact,4027,Yuma County,4
5,AR,Compact,5001,Arkansas County,1
5,AR,Compact,5001,Arkansas County,4
5,AR,Compact,5003,Ashley County,4
5,AR,Compact,5005,Baxter County,1
5,AR,Compact,5007,Benton County,3
5,AR,Compact,5009,Boone County,1
5,AR,Compact,5011,Bradley County,4
5,AR,Compact,5013,Calhoun County,4
5,AR,Compact,5015,Carroll County,3
5,AR,Compact,5015,Carroll County,1
5,AR,Compact,5017,Chicot County,4
5,AR,Compact,5019,Clark County,4
5,AR,Compact,5021,Clay County,1
5,AR,Compact,5023,Cleburne County,1
5,AR,Compact,5025,Cleveland County,4
5,AR,Compact,5027,Columbia County,4
5,AR,Compact,5029,Conway County,2
5,AR,Compact,5031,Craighead County,1
5,AR,Compact,5033,Crawford County,3
5,AR,Compact,5035,Crittenden County,1
5,AR,Compact,5037,Cross County,1
5,AR,Compact,5039,Dallas County,4
5,AR,Compact,5041,Desha County,4
5,AR,Compact,5043,Drew County,4
5,AR,Compact,5045,Faulkner County,2
5,AR,Compact,5047,Franklin County,3
5,AR,Compact,5049,Fulton County,1
5,AR,Compact,5051,Garland County,4
5,AR,Compact,5053,Grant County,4
5,AR,Compact,5055,Greene County,1
5,AR,Compact,5057,Hempstead County,4
5,AR,Compact,5059,Hot Spring County,4
5,AR,Compact,5061,Howard County,4
5,AR,Compact,5063,Independence County,1
5,AR,Compact,5065,Izard County,1
5,AR,Compact,5067,Jackson County,1
5,AR,Compact,5069,Jefferson County,4
5,AR,Compact,5071,Johnson County,3
5,AR,Compact,5073,Lafayette County,4
5,AR,Compact,5075,Lawrence County,1
5,AR,Compact,5077,Lee County,1
5,AR,Compact,5079,Lincoln County,4
5,AR,Compact,5081,Little River County,4
5,AR,Compact,5083,Logan County,3
5,AR,Compact,5085,Lonoke County,2
5,AR,Compact,5087,Madison County,3
5,AR,Compact,5089,Marion County,1
5,AR,Compact,5091,Miller County,4
5,AR,Compact,5093,Mississippi County,1
5,AR,Compact,5095,Monroe County,1
5,AR,Compact,5097,Montgomery County,4
5,AR,Compact,5099,Nevada County,4
5,AR,Compact,5101,Newton County,1
5,AR,Compact,5103,Ouachita County,4
5,AR,Compact,5105,Perry County,2
5,AR,Compact,5107,Phillips County,1
5,AR,Compact,5109,Pike County,4
5,AR,Compact,5111,Poinsett County,1
5,AR,Compact,5113,Polk County,4
5,AR,Compact,5115,Pope County,2
5,AR,Compact,5117,Prairie County,1
5,AR,Compact,5119,Pulaski County,2
5,AR,Compact,5121,Randolph County,1
5,AR,Compact,5125,Saline County,4
5,AR,Compact,5127,Scott County,3
5,AR,Compact,5129,Searcy County,1
5,AR,Compact,5131,Sebastian County,3
5,AR,Compact,5133,Sevier County,4
5,AR,Compact,5135,Sharp County,1
5,AR,Compact,5123,St. Francis County,1
5,AR,Compact,5137,Stone County,1
5,AR,Compact,5139,Union County,4
5,AR,Compact,5141,Van Buren County,1
5,AR,Compact,5143,Washington County,3
5,AR,Compact,5145,White County,1
5,AR,Compact,5145,White County,2
5,AR,Compact,5147,Woodruff County,1
5,AR,Compact,5149,Yell County,2
6,CA,Compact,6001,Alameda County,15
6,CA,Compact,6001,Alameda County,13
6,CA,Compact,6001,Alameda County,17
6,CA,Compact,6003,Alpine County,16
6,CA,Compact,6005,Amador County,16
6,CA,Compact,6007,Butte County,5
